Issue_Level_1_客訴故障現象,正規化,Issue_Level_2_分析看到現象,Issue_Level_2_分析看到現象_正規化,Issue_Level_7_損壞原因,Issue_Level_7_損壞原因_正規化
,,"無顯示,炸機","顯示異常,炸機",,
,,"無顯示,機內粉塵多,刹車晶體壞","顯示異常,機內粉塵多,刹車晶體壞",,
,,無顯示面板保護蓋,顯示異常,,
,,無顯示無輸出,顯示異常,,
,,"發出運動命令,電機不走","發出運動命令,電機不走",,
,,發脉衝不執行,發脉衝無反應,,
,,發脉衝只有一個方向,發脉衝只有一個方向,,
,,發脉衝沒反應,發脉衝無反應,,
,,發脉衝無反應,發脉衝無反應,,
,,短路,SHORT,,
,,短路引起跳閘,SHORT,,
,,"硬件問題,某個模塊有問題收不到PLC發送的脉衝信號","硬件問題,某個模塊有問題收不到PLC發送的脉衝信號",,
,,"給信號數字自己跳動,電機不動","給信號數字自己跳動,電機不動",,
,,跑馬燈,跑馬燈,,
,,"跑馬燈,AL011","跑馬燈,AL011",,
,,"軸异響,象限點調不動,全新待更換","軸异響,象限點調不動,全新待更換",,
,,進水,進水,,
,,進相電源短路,進相電源短路,,
,,"進退信號反,伺服馬達不動","進退信號反,伺服馬達不動",,
,,"量取U21 PIN3與PIN5阻抗異常為0.7Mohm,正常的阻抗在1.6Mohm","量取U21 PIN3與PIN5阻抗異常為0.7Mohm,正常的阻抗在1.6Mohm",,
,,量測C21低阻抗2.1kΩ。正常為MΩ級別,量測C21低阻抗2.1kΩ。正常為MΩ級別,,
,,開不了機,開不了機,,
,,"開始報AL011,檢查後不報警了","開始報AL011,檢查後不報警了",,
,,開機一會就報警,開機報警,,
,,"開機送料機無動作,驅動器無代碼顯示","開機送料機無動作,驅動器無代碼顯示",,
,,開機報警,開機報警,,
,,開機報警085,"開機報警,AL085",,
,,開機報警AL085或AL09F,"開機報警AL085,AL09F",,
,,開機無顯示,開機無顯示,,
,,開機跳閘,開機跳閘,,
,,開機顯示黑屏,開機無顯示,,
,,韌體版本問題,韌體版本問題,,
,,黑屏,顯示異常,,
,,"黑屏,不顯示",顯示異常,,
,,"黑屏,內部綫路板打火","顯示異常,內部綫路板打火",,
,,"黑屏,出測試報告","顯示異常,出測試報告",,
,,"黑屏,批次問題,請換新","顯示異常,批次問題,請換新",,
,,"黑屏,通訊不上","顯示異常,通訊不上",,
,,黑屏。不顯示,顯示異常,,
,,"黑屏,炸機","顯示異常,炸機",,
,,黑屏無顯示,顯示異常無顯示,,
,,亂報故障,亂碼異常,,
,,亂碼,亂碼異常,,
,,"亂碼,間歇性無顯示",亂碼異常,,
,,亂碼异常,亂碼異常,,
,,亂髮脉衝,亂髮脉衝,,
,,幹擾其他伺服,干擾其他伺服,,
,,"新機 通訊不良,H1的值不對","新機 通訊不良,H1的值不對",,
,,"新機,R點壞","新機,R點壞",,
,,"新機,外觀刮花,客戶以爲是舊機,要求退貨。","新機,外觀刮花,客戶以爲是舊機,要求退貨",,
,,"新機,按鍵有問題","新機,按鍵異常",,
,,"新機,按鍵脫落","新機,按鍵脫落",,
,,"新機,報警10,要求更換新機","新機,報AL010,要求更換新機",,
,,"新機,顯示筆劃不全","新機,顯示筆劃不全",,
,,"新機上電就炸,故障報警AL09F","新機上電就炸,報AL09F",,
,,新機不良,新機不良,,
,,新機刷韌體報001,"新機刷韌體,報AL001",,
,,新機按鍵壞,"新機,按鍵異常",,
,,新機通電報警AL011,"新機通電,報AL011",,
,,新機歸還,新機歸還,,
,,新機翻蓋壞,新機翻蓋壞,,
,,"會死機,二次報修,要求換機","會死機,二次報修,要求換機",,
,,"會跳數值,傳動停頓","會跳數值,傳動停頓",,
,,"極偶爾出現過無顯示的狀况,後續無法重現","極偶爾出現過無顯示的狀况,後續無法重現",,
,,溫度過高,溫度過高,,
,,滑牙,螺絲滑牙,,
,,滑牙（R),螺絲滑牙,,
,,滑絲,螺絲滑牙,,
,,"當驅動器不運行時,CN4通訊正常,當驅動器運行時,CN4通訊造成FX-5U PLC的485端口燒壞。電腦USB接口也燒壞,造成整機漏保電源開關跳脫。","當驅動器不運行時,CN4通訊正常,當驅動器運行時,CN4通訊造成FX-5U PLC的485端口燒壞。電腦USB接口也燒壞,造成整機漏保電源開關跳脫。",,
,,裏面有螺絲,螺絲斷裂,,
,,裝STO端子後帶馬達運轉正常,裝STO端子後帶馬達運轉正常,,
,,跳閘,跳閘,,
,,運行2小時死機,運行約2小時死機,,
,,運行一段時間死機,運行一段時間死機,,
,,運行一會報警15,"運行一段時間,報AL015",,
,,"運行一段時間,A2367:A2375報AL015","運行一段時間,A02367:A2375報AL015",,
,,運行了2個小時就 黑屏,運行一段時間黑屏,,
,,運行不了,運行不了,,
,,運行中低電壓,運行中低電壓,,
,,"運行中重啟,U42接觸性不良","運行中重啟,U42接觸性不良",,
,,"運行中報警01,時間不固定","運行中報AL001,時間不固定",,
,,運行中報警85,運行中報AL085,,
,,"運行中燒起來,滅火後造成生銹","運行中燒起來,滅火後造成生銹",,
,,運行約10分鐘左右死機,運行約10分鐘左右死機,,
,,"運行約1分鐘左右報警AL001,重複上電斷電約4次左右無顯示","運行約1分鐘左右報警AL001,重複上電斷電約4次左右無顯示",,
,,"運行約3分鐘左右報警AL001,重複ON,OFF有時顯示,有時無顯示","運行約3分鐘左右報警AL001,重複ON,OFF有時顯示,有時無顯示",,
,,運行約5分鐘左右死機,運行約5分鐘左右死機,,
,,運行約5秒死機,運行約5秒死機,,
,,運行約半小時左右死機,運行約30分鐘左右死機,,
,,"運行原點回歸,設定遇到限位反轉找尋原點,功能可以正常實現","運行原點回歸,設定遇到限位反轉找尋原點,功能可以正常實現",,
,,運行報警AL001,運行報警AL001,,
,,運行無輸出,運行無輸出,,
,,運行會報警AL083,AL083,,
,,運行過程中出現黑屏,顯示異常,,
,,"運轉中報警AL003,無法運轉",AL003,,
,,過流,過流報警,,
,,過流報警,過流報警,,
,,過載,過電報警,,
,,過電流,過電報警,,
,,過電流報警AL001,AL001,,
,,過電報警,過電報警,,
,,過電壓,過電報警,,
,,過壓,過壓,,
,,零漂無法消除,零漂無法消除,,
,,"電阻R260應爲10KΩ,錯建爲0Ω（使其輸出電壓準位由3.3V被拉到GND）,該脚位與shift鍵控制Boot訊號,拉到GND造成以下問題","電阻R260應爲10KΩ,錯建爲0Ω（使其輸出電壓準位由3.3V被拉到GND）,該脚位與shift鍵控制Boot訊號,拉到GND造成以下問題",,
,,"電流過大,無法使用",過流報警,,
,,電容DC3鼓包,電容鼓包,,
,,電容异常,電容異常,,
,,電容炸,電容炸,,
,,電容鼓包,電容鼓包,,
,,電源220V短路,電源220V短路,,
,,"電源板：DT1打火,PIN1和PIN2 Open,DU1擊穿,整流子DD22擊穿,IGBT擊穿,DR300燒壞,控制板噴灰,電源系統全部損壞","電源板：DT1打火,PIN1和PIN2 Open,DU1擊穿,整流子DD22擊穿,IGBT擊穿,DR300燒壞,控制板噴灰,電源系統全部損壞",,
,,"電源板DR58炸,DD22擊穿,IGBT 單體量測,P對U短路,對W特性异常0.281vdc,N對U短路,com對5,7,9,10,11,12,16,17,2短路","電源板DR58炸,DD22擊穿,IGBT 單體量測,P對U短路,對W特性异常0.281vdc,N對U短路,com對5,7,9,10,11,12,16,17,2短路",,
,,電源板多個元件受到腐蝕,電源板壞,,
,,電源板壞,電源板壞,,
,,"電源指示燈亮,8字管不亮","電源指示燈亮,8字管不亮",,
,,電源短路,電源短路,,
,,電源模塊不顯示,電源模塊不顯示,,
,,電源模塊偶發性失靈,電源模塊偶發性失靈,,
,,電源輸入端R端螺絲鎖不緊,R端子_螺絲滑牙,,
,,電源輸入壞,電源壞,,
,,電源螺絲打滑,電源_螺絲滑牙,,
,,電源螺絲滑牙,電源_螺絲滑牙,,
,,電源壞,電源壞,,
,,電路板冒烟燒板或上電後顯示AL09F故障代碼,AL09F,,
,,電路板冒烟燒壞,電路板冒烟燒壞,,
,,電機不轉,電機不轉,,
,,電機异響,電機異響,,
,,電機自激震蕩,電機自激震蕩,,
,,電機抖動,電機抖動,,
,,電機精准度不够.需檢驗報告,電機精准度不够.需檢驗報告,,
,,電壓正常時一直報電壓過低,電壓正常時一直報電壓過低,,
,,電壓偵測异常,電壓偵測異常,,
,,電壓偵測異常,電壓偵測異常,,
,,"實際電壓正常,但顯示報警086或R處鎖不緊,地綫螺絲擰不緊,屏幕顯示不全","AL086,螺絲滑牙,顯示異常",,
,,"滿載連續運行6H無异常,同時量測三相輸出電流波形正常","滿載連續運行6H無异常,同時量測三相輸出電流波形正常",,
,,滿載對托功能正常,滿載對托功能正常,,
,,漏電,漏電跳閘,,
,,"漏電,上電聲音大",上電後異常,,
,,"漏電,報001","漏電跳閘,AL001",,
,,漏電跳閘,漏電跳閘,,
,,疑似配綫時綫芯掉落至伺服內部,疑似配綫時綫芯掉落至伺服內部,,
,,端子DJ1粘膠,端子DJ1粘膠,,
,,端子T螺絲壞,T端子_螺絲滑牙,,
,,端子外力損壞,端子外力損壞,,
,,端子打火,端子打火,,
,,端子排R螺絲滑牙,R端子_螺絲滑牙,,
,,端子粘膠,端子粘膠,,
,,"端子粘膠,DR1燒壞,DC3底部trace燒壞","端子粘膠,DR1燒壞,DC3底部trace燒壞",,
,,端子報警,端子報警,,
,,端子插不進,端子異常,,
,,端子壞了,端子異常,,
,,綫圈燒,線圈燒,,
,,"網口ERR變紅,不斷反復","網口異常,ERR變紅,不斷反復",,
,,"網口不通訊,指示燈不亮","網口異常,不通訊,指示燈不亮",,
,,網口故障,網口異常,,
,,"網口針脚歪斜,接觸不良","網口異常,針脚歪斜,接觸不良",,
,,網口接觸不良,"網口異常,接觸不良",,
,,網口通訊不上,"網口異常,通訊不良",,
,,網口通訊正常,網口通訊正常,,
,,網口通訊接觸不好,"網口異常,通訊接觸不好",,
,,網絡通訊异常,"網口異常,通訊不良",,
,,"網綫端口,通訊連不上","網口異常,通訊不良",,
,,與CNC通訊失敗,與CNC通訊失敗,,
,,與CNC通訊正常,與CNC通訊正常,,
,,與其他伺服通訊不上,與其他伺服通訊不上,,
,,"銅箔炸,DD22之間PIN腳打火","銅箔損壞,DD22之間PIN腳打火",,
,,"銅箔損壞,IGBT open,DR58炸","銅箔損壞,IGBT open,DR58炸",,
,,銘板使用錯誤,銘板使用錯誤,,
,,"銘板板蓋缺失,外觀無磕痕,使用時間爲0小時","銘板蓋缺失,外觀無磕痕,使用時間爲0小時",,
,,"銘板蓋缺失,UP,Shift按鍵缺失","銘板蓋缺失,UP,Shift按鍵缺失",,
,,"銘牌和實際功率不一樣,需要檢測報告","銘板蓋和實際功率不一樣,需要檢測報告",,
,,"需要研發分析報告,報告故障現象:1.控制器使用50MC、正常運行過程中,控制器檢測到何服報警 。 驅動器上顯示正常,監控50MC軟件診斷顯示這台驅動 報警AL、FFFF(運動控制器顯示),連接之後的驅","需要研發分析報告,報告故障現象:1.控制器使用50MC、正常運行過程中,控制器檢測到何服報警 。 驅動器上顯示正常,監控50MC軟件診斷顯示這台驅動 報警AL、FFFF(運動控制器顯示),連接之後的驅",,
,,寫進參數重上電後參數不保存,寫進參數重上電後參數不保存,,
,,撞機走位不準,撞機後走位異常,,
,,撞機後走位异常,撞機後走位異常,,
,,數字圖像顯示失敗,數字顯示不全,,
,,數字顯示不全,數字顯示不全,,
,,數碼管壞,數碼管顯示異常,,
,,數碼管顯示多筆畫,數碼管顯示多筆畫,,
,,數碼管顯示异常,數碼管顯示異常,,
,,數據報錯.加急,數據報錯.加急,,
,,數據導不進,數據導不進,,
,,數顯不准,數顯不准,,
,,"數顯不顯示,總綫中斷","數顯不顯示,總綫中斷",,
,,模塊壞,模塊壞,,
,,模擬量接受有問題,模擬量接受有問題,,
,,確認鍵失靈异常,確認鍵失靈异常,,
,,編碼接口壞,編碼器異常,,
,,編碼器异常,編碼器異常,,
,,編碼器故障,編碼器異常,,
,,編碼器接口接觸不良,編碼器異常,,
,,編碼器報警AL011,AL011,,
,,編碼器無反饋,"編碼器異常,無反饋",,
,,編碼器電源短路.加急,"編碼器異常,電源短路.加急",,
,,編碼器綫驅動器端的金屬殼導致驅動器報AL006,AL006,,
,,"編碼器輸出沒反饋,有問題,新機",編碼器異常,,
,,"調試有异響,現無法開機","調試有異響,現無法開機",,
,,請幫忙全面檢測,檢查維修,,
,,"質量問題,缺相","質量問題,缺相",,
,,"輪流報AL006,AL003","AL003,AL006",,
,,導電金屬絲,導電金屬絲,,
,,操作面板無顯示,顯示異常,,
,,整流子 PIN腳打火熔斷,整流子PIN腳打火熔斷,,
,,"整流子DD22 RS對P擊穿,IGBT U上橋擊穿","整流子DD22,RS對P擊穿,IGBT U上橋擊穿",,
,,整流子DD22、DD23擊穿,"整流子DD22,DD23擊穿",,
,,整流子DD22和DD23炸機,"整流子DD22,DD23炸機",,
,,整流子DD22和DD23擊穿,"整流子DD22,DD23擊穿",,
,,整流子DD22擊穿,整流子DD22擊穿,,
,,"整流子DD22擊穿,IGBT炸","整流子DD22擊穿,IGBT炸",,
,,"整流子DD22擊穿,軟起電阻DR28燒,DR42炸,IGBT炸","整流子DD22擊穿,軟起電阻DR28燒,DR42炸,IGBT炸",,
,,整流子DD22擊穿、剎車晶體DQ2、軟起電阻DR28和P點有打火,"整流子DD22擊穿,剎車晶體DQ2,軟起電阻DR28和P點有打火",,
,,"整流子DD23,T對P擊穿,整流子DD22 RS對P擊穿,IGBT UW對P擊穿,DR58炸裂","整流子DD23,T對P擊穿,整流子DD22 RS對P擊穿,IGBT UW對P擊穿,DR58炸裂",,
,,"整流子R,S,T對P全部短路","整流子R,S,T對P全部短路",,
,,"整流子R對P short,R通道銅箔熔斷","整流子R對P SHORT,R通道銅箔熔斷",,
,,"整流子R對P擊穿,R通道銅箔熔斷,IGBT炸裂,IGBT散熱底板與HSK有跳火痕迹","整流子R對P擊穿,R通道銅箔熔斷,IGBT炸裂,IGBT散熱底板與HSK有跳火痕迹",,
,,整流子打火,整流子打火,,
,,整流子炸,整流子炸,,
,,整流子液體污染,整流子液體污染,,
,,"整流子被拆除,連接Varistor的銅箔斷,SPS電路DC91打火損壞","整流子被拆除,連接Varistor的銅箔斷,SPS電路DC91打火損壞",,
,,"整流子與Varistor相連銅箔熔斷,DR58及IGBT損壞","整流子與Varistor相連銅箔熔斷,DR58及IGBT損壞",,
,,整流子燒錄,整流子燒錄,,
,,整流子擊穿,整流子擊穿,,
,,"整流子擊穿,內部燒毀嚴重","整流子擊穿,內部燒毀嚴重",,
,,"整流子擊穿,剎車晶體擊穿","整流子擊穿,剎車晶體擊穿",,
,,"整流子擊穿,銅箔燒壞,DC53鼓包,DJ1粘膠","整流子擊穿,銅箔燒壞,DC53鼓包,DJ1粘膠",,
,,"整流子擊穿,銅箔翹皮","整流子擊穿,銅箔翹皮",,
,,"整流子鎖裂,IGBT鎖傷","整流子鎖裂,IGBT鎖傷",,
,,整流炸、DC82鋁殼擊穿,"整流炸,DC82鋁殼擊穿",,
,,整流壞,整流壞,,
,,"整機上電,面板顯示正常,讀取參數正常","整機上電,面板顯示正常,讀取參數正常",,
,,"整機上電L1L2,面板顯示异常,讀取參數正常,連接CN4使用ASDA_soft軟件連接驅動器速度模式和扭矩模式正常運行,連接CN3使用RS485連接成功,可以正常讀取參數","整機上電L1L2,面板顯示異常,讀取參數正常,連接CN4使用ASDA_soft軟件連接驅動器速度模式和扭矩模式正常運行,連接CN3使用RS485連接成功,可以正常讀取參數",,
,,整機上電帶電機存動模式可以正常運行,整機上電帶電機存動模式可以正常運行,,
,,整機上電報AL09F故障,整機上電報AL09F故障,,
,,"整機上電無故障報出,可以正常讀取參數,帶馬達運行100%負載正常","整機上電無故障報出,可以正常讀取參數,帶馬達運行100%負載正常",,
,,"整機上電讀取參數正常,初次上電報AL011故障,重新插拔後故障消除","整機上電讀取參數正常,初次上電報AL011故障,重新插拔後故障消除",,
,,"整機上電讀取參數正常,報AL015","整機上電讀取參數正常,報AL015",,
,,"整機上電讀取參數正常,無故障顯示,帶馬達空載3000rpm運行正常,連續帶滿載4小時正常運行","整機上電讀取參數正常,無故障顯示,帶馬達空載3000rpm運行正常,連續帶滿載4小時正常運行",,
,,"整機進油污染、IGBT腐蝕,15V擊穿","整機進油污染、IGBT腐蝕,15V擊穿",,
,,"機器被摔,DR27外力損壞","機器被摔,DR27外力損壞",,
,,機器損毀嚴重,機器損毀嚴重,,
,,燈不亮,燈不顯示,,
,,燈不顯示,燈不顯示,,
,,燒了,燒壞,,
,,"燒了,電容炸了",燒壞,,
,,燒火,燒壞,,
,,燒掉,燒壞,,
,,"燒毀,不顯示",燒壞,,
,,燒毀了 不工作,燒壞,,
,,燒機,燒壞,,
,,燒錄不了,燒壞,,
,,燒壞,燒壞,,
,,"燒壞,上電炸一下火花,報警AL001",AL001,,
,,"燒壞,風扇不轉,報警P10",ALP10,,
,,"燒壞,上電無顯示,刹車點位有問題,警告無法消除,報警001,不通電,報AL006,DOH一直有輸出",AL006,,
,,燒壞無顯示,燒壞,,
,,燒壞漏電,燒壞,,
,,"輸入,輸出壞","輸入異常,輸出異常",,
,,輸入炸壞,輸入異常,,
,,輸入短路,輸入端口短路,,
,,"輸入開路,整流子熔","輸入開路,整流子熔",,
,,輸入損壞,輸入異常,,
,,輸入過壓,輸入過壓,,
,,輸入電源壞,輸入電源壞,,
,,輸入電壓過高,輸入電壓過高,,
,,輸入端口短路,輸入端口短路,,
,,輸入壞,輸入異常,,
,,輸不了參數,輸入參數異常,,
,,輸出TO點有問題,輸出TO異常,,
,,輸出UW短路,輸出UW短路,,
,,輸出异常,輸出異常,,
,,輸出故障,輸出異常,,
,,輸出短路,輸出短路,,
,,輸出電壓不穩定,輸出電壓不穩定,,
,,"輸出端U燒壞,面板接觸不良","輸出端U燒壞,面板接觸不良",,
,,輸出壞,輸出異常,,
,,錫珠導致間歇性斷電,錫渣導致間歇性斷電,,
,,錫渣使的剎車晶體GC短路,錫渣使的剎車晶體GC短路,,
,,隨機不顯示,隨機不顯示,,
,,"靜置偶發報警AL001,重複ON,OFF有時顯示,有時無顯示","靜置偶發報警AL001,重複ON,OFF有時顯示,有時無顯示",,
,,"靜置偶發報警AL001,重複ON,OFF有無顯示現象","靜置偶發報警AL001,重複ON,OFF有無顯示現象",,
,,壓綫螺絲滑絲,壓線_螺絲滑牙,,
,,幫忙全面檢測,檢查維修,,
,,幫忙檢測,檢查維修,,
,,應該是CN2接頭有問題  報警AL011 綫檢查過沒有問題,應該是CN2接頭有問題  報警AL011 綫檢查過沒有問題,,
,,檢出器輸出脉波數設定錯誤,檢出器輸出脉波數設定錯誤,,
,,"檢查PO_Z信號無信號,說明U2無信號產生,U2異常","檢查PO_Z信號無信號,說明U2無信號產生,U2異常",,
